Date,Open,High,Low,Close
12/29/16,5681.5,5699.1,5659.0,5699.1
12/28/16,5628.7,5693.8,5628.7,5685.0
12/23/16,5641.2,5649.8,5619.1,5627.9
12/22/16,5611.4,5644.2,5603.4,5643.9
12/21/16,5595.5,5628.0,5595.5,5613.5
12/20/16,5557.1,5606.8,5557.1,5591.1
12/19/16,5533.0,5577.9,5530.9,5562.1
12/16/16,5533.2,5549.9,5510.0,5532.9
12/15/16,5577.9,5580.8,5517.9,5538.6
12/14/16,5545.4,5595.7,5545.4,5584.6
12/13/16,5557.8,5573.7,5543.5,5545.0
12/12/16,5560.0,5583.2,5552.5,5562.8
12/09/16,5546.8,5566.1,5541.3,5560.6
12/08/16,5487.4,5550.2,5487.4,5543.6
12/07/16,5433.9,5478.1,5433.4,5478.1
12/06/16,5416.6,5451.3,5416.6,5428.7
12/05/16,5442.2,5442.7,5383.8,5400.4
12/02/16,5499.9,5499.9,5444.0,5444.0
12/01/16,5456.0,5500.2,5454.4,5500.2
11/30/16,5450.1,5458.1,5423.2,5440.5
11/29/16,5460.9,5486.6,5453.3,5457.5
11/28/16,5498.8,5504.1,5464.4,5464.4
11/25/16,5485.1,5520.9,5478.9,5507.8
11/24/16,5484.4,5503.3,5471.8,5485.1
11/23/16,5413.3,5488.5,5413.3,5484.4
11/22/16,5351.3,5425.5,5351.3,5413.3
11/21/16,5356.9,5364.0,5334.9,5351.3
11/18/16,5342.8,5366.4,5342.6,5359.4
11/17/16,5322.5,5344.7,5286.2,5338.5
11/16/16,5323.6,5346.7,5320.3,5327.7
11/15/16,5341.4,5342.0,5303.3,5326.2
11/14/16,5359.6,5359.8,5315.3,5345.7
11/11/16,5336.6,5370.7,5333.2,5370.7
11/10/16,5209.4,5328.8,5207.6,5328.8
11/09/16,5266.3,5314.1,5052.1,5156.6
11/08/16,5259.2,5282.4,5244.3,5257.8
11/07/16,5185.8,5251.9,5185.8,5250.8
11/04/16,5219.6,5220.3,5178.0,5180.8
11/03/16,5222.4,5241.2,5201.5,5225.6
11/02/16,5282.4,5282.4,5207.7,5229.0
11/01/16,5313.9,5313.9,5271.7,5290.5
10/31/16,5280.8,5329.1,5277.7,5317.7
10/28/16,5293.3,5311.4,5261.4,5283.8
10/27/16,5362.6,5374.2,5295.5,5295.5
10/26/16,5441.2,5442.0,5340.7,5359.8
10/25/16,5408.3,5455.7,5407.7,5442.8
10/24/16,5430.1,5430.3,5377.4,5408.5
10/21/16,5444.1,5446.9,5410.8,5430.3
10/20/16,5435.4,5457.9,5433.1,5442.1
10/19/16,5410.8,5438.6,5410.8,5435.4
10/18/16,5390.2,5417.5,5386.1,5410.8
10/17/16,5431.1,5441.2,5388.7,5388.7
10/14/16,5431.5,5447.2,5430.3,5434.0
10/13/16,5467.1,5468.1,5420.8,5435.5
10/12/16,5466.1,5474.6,5433.6,5474.6
10/11/16,5481.1,5498.0,5474.4,5479.8
10/10/16,5469.1,5494.7,5469.1,5475.4
10/07/16,5487.3,5493.1,5457.2,5467.4
10/06/16,5459.6,5485.8,5459.6,5483.0
10/05/16,5478.5,5478.5,5439.8,5452.9
10/04/16,5477.0,5484.0,5448.3,5484.0
10/03/16,5441.8,5492.1,5441.7,5478.5
09/30/16,5465.4,5465.6,5417.7,5435.9
09/29/16,5427.7,5473.3,5426.2,5471.3
09/28/16,5406.4,5435.0,5399.1,5412.4
09/27/16,5421.3,5421.7,5372.3,5405.9
09/26/16,5427.7,5436.1,5407.6,5431.4
09/23/16,5376.0,5434.3,5373.9,5431.3
09/22/16,5347.4,5391.9,5347.4,5374.5
09/21/16,5306.4,5345.5,5303.1,5339.6
09/20/16,5296.9,5307.6,5276.3,5303.6
09/19/16,5298.0,5301.2,5273.0,5294.8
09/16/16,5247.8,5306.1,5245.3,5296.7
09/15/16,5224.0,5242.5,5204.0,5239.9
09/14/16,5204.1,5230.6,5192.2,5227.7
09/13/16,5233.9,5276.1,5207.8,5207.8
09/12/16,5317.0,5317.0,5215.0,5219.6
09/09/16,5384.0,5384.0,5332.4,5339.2
09/08/16,5414.8,5414.8,5358.0,5385.8
09/07/16,5414.2,5440.2,5410.6,5424.2
09/06/16,5427.9,5430.3,5404.4,5413.6
09/05/16,5382.8,5431.1,5382.8,5429.6
09/02/16,5416.9,5418.9,5361.7,5372.8
09/01/16,5422.7,5429.9,5405.7,5415.6
08/31/16,5476.1,5476.1,5412.6,5433.0
08/30/16,5477.2,5504.0,5474.9,5478.3
08/29/16,5516.7,5516.7,5452.3,5469.2
08/26/16,5543.0,5544.4,5513.7,5515.5
08/25/16,5557.1,5562.4,5535.4,5541.9
08/24/16,5558.8,5569.1,5552.5,5561.7
08/23/16,5515.7,5574.0,5515.3,5553.8
08/22/16,5523.3,5537.4,5508.7,5515.1
08/19/16,5512.7,5533.1,5504.5,5526.7
08/18/16,5537.4,5546.0,5498.7,5507.8
08/17/16,5536.4,5537.9,5506.7,5535.0
08/16/16,5542.2,5549.8,5530.1,5532.0
08/15/16,5522.7,5545.2,5510.8,5540.0
08/12/16,5518.0,5549.1,5506.2,5530.9
08/11/16,5537.8,5538.3,5483.7,5508.0
08/10/16,5547.9,5550.1,5513.2,5543.7
08/09/16,5536.2,5553.8,5536.2,5552.5
08/08/16,5507.5,5549.6,5507.5,5537.8
08/05/16,5484.0,5512.5,5483.9,5497.4
08/04/16,5473.5,5509.2,5473.5,5475.8
08/03/16,5539.3,5539.3,5465.7,5465.7
08/02/16,5583.7,5592.1,5539.3,5540.5
08/01/16,5564.0,5611.2,5563.9,5587.4
07/29/16,5553.4,5570.4,5536.9,5562.4
07/28/16,5538.8,5564.0,5538.8,5556.6
07/27/16,5545.9,5564.6,5530.0,5539.7
07/26/16,5530.2,5537.5,5498.2,5537.5
07/25/16,5499.2,5548.5,5498.8,5533.6
07/22/16,5512.6,5512.6,5477.9,5498.2
07/21/16,5491.9,5531.9,5491.9,5512.4
07/20/16,5440.8,5488.7,5439.8,5488.7
07/19/16,5454.3,5466.4,5432.8,5451.3
07/18/16,5428.9,5462.3,5428.9,5458.5
07/15/16,5412.3,5452.7,5411.8,5429.6
07/14/16,5386.6,5416.0,5386.0,5411.6
07/13/16,5362.9,5391.7,5362.9,5388.5
07/12/16,5346.6,5391.9,5345.9,5353.2
07/11/16,5246.2,5337.1,5246.2,5337.1
07/08/16,5222.4,5238.3,5217.4,5230.5
07/07/16,5205.1,5244.1,5204.4,5227.9
07/06/16,5215.6,5215.6,5148.7,5197.5
07/05/16,5281.5,5282.3,5221.1,5228.0
07/04/16,5243.2,5281.8,5218.5,5281.8
07/01/16,5240.9,5278.9,5235.4,5246.6
06/30/16,5157.3,5247.6,5156.4,5233.4
06/29/16,5120.5,5156.5,5119.7,5142.4
06/28/16,5125.6,5125.7,5051.1,5103.3
06/27/16,5110.1,5154.9,5051.0,5137.2
06/24/16,5289.5,5325.4,5080.0,5113.2
06/23/16,5271.0,5292.8,5269.4,5280.7
06/22/16,5279.7,5297.8,5259.3,5270.9
06/21/16,5259.8,5290.0,5252.3,5274.4
06/20/16,5178.8,5256.8,5178.7,5256.8
06/17/16,5156.5,5178.4,5148.3,5162.7
06/16/16,5155.3,5198.9,5141.0,5146.0
06/15/16,5195.5,5195.8,5147.1,5147.1
06/14/16,5290.8,5291.7,5197.4,5203.3
06/10/16,5347.3,5347.3,5294.2,5312.6
06/09/16,5370.6,5386.0,5336.0,5361.9
06/08/16,5360.6,5375.5,5335.2,5370.0
06/07/16,5360.1,5392.5,5360.1,5371.0
06/06/16,5321.5,5374.9,5317.1,5360.4
06/03/16,5287.2,5324.3,5286.9,5318.9
06/02/16,5324.5,5327.8,5270.9,5278.9
06/01/16,5366.8,5366.8,5306.3,5323.2
05/31/16,5406.0,5406.0,5365.3,5378.6
05/30/16,5404.9,5415.0,5391.5,5408.0
05/27/16,5391.2,5427.7,5391.2,5405.9
05/26/16,5382.5,5402.7,5354.1,5388.1
05/25/16,5312.3,5394.4,5310.2,5372.5
05/24/16,5322.5,5324.0,5295.6,5295.6
05/23/16,5353.6,5364.6,5297.5,5318.9
05/20/16,5324.6,5366.0,5320.3,5351.3
05/19/16,5356.0,5371.1,5303.1,5323.3
05/18/16,5394.2,5394.2,5347.1,5356.2
05/17/16,5369.3,5395.9,5360.4,5395.9
05/16/16,5326.1,5371.1,5319.8,5358.9
05/13/16,5361.1,5371.7,5309.0,5329.0
05/12/16,5371.0,5372.2,5337.6,5359.3
05/11/16,5357.2,5425.2,5357.2,5372.3
05/10/16,5310.4,5343.2,5288.4,5342.8
05/09/16,5287.5,5321.4,5264.4,5320.7
05/06/16,5281.6,5292.0,5200.3,5292.0
05/05/16,5269.8,5294.1,5249.8,5279.1
05/04/16,5347.0,5350.3,5271.1,5271.1
05/03/16,5225.4,5357.0,5217.4,5353.8
05/02/16,5246.2,5246.9,5182.2,5243.0
04/29/16,5223.5,5257.1,5210.5,5252.2
04/28/16,5199.6,5239.3,5198.5,5225.4
04/27/16,5225.8,5281.6,5179.5,5187.7
04/26/16,5227.7,5247.3,5211.4,5220.6
04/22/16,5259.4,5273.5,5226.2,5236.4
04/21/16,5233.6,5279.9,5233.5,5272.7
04/20/16,5199.3,5232.7,5194.7,5216.0
04/19/16,5153.3,5219.0,5153.0,5188.8
04/18/16,5144.1,5157.6,5118.5,5137.1
04/15/16,5118.5,5157.5,5111.7,5157.5
04/14/16,5069.2,5118.6,5068.4,5118.6
04/13/16,4989.3,5054.7,4989.3,5054.7
04/12/16,4929.6,4977.2,4927.3,4975.6
04/11/16,4942.1,4943.2,4910.8,4931.5
04/08/16,4960.9,4960.9,4893.5,4937.6
04/07/16,4945.8,4984.9,4945.1,4964.1
04/06/16,4924.3,4958.2,4906.3,4945.9
04/05/16,4992.3,4992.3,4909.1,4924.4
04/04/16,5000.4,5046.3,4995.3,4995.3
04/01/16,5075.6,5075.6,4976.3,4999.4
03/31/16,5024.7,5098.2,5024.2,5082.8
03/30/16,5012.7,5058.8,4989.9,5010.3
03/29/16,5082.2,5095.7,4998.5,5004.5
03/24/16,5121.8,5121.8,5069.2,5084.2
03/23/16,5163.2,5163.2,5124.0,5142.3
03/22/16,5161.5,5181.6,5152.6,5166.6
03/21/16,5186.0,5195.7,5148.6,5166.6
03/18/16,5180.6,5216.2,5173.6,5183.1
03/17/16,5131.2,5193.5,5130.1,5168.2
03/16/16,5105.1,5122.4,5088.2,5119.0
03/15/16,5183.8,5183.8,5106.5,5111.4
03/14/16,5176.3,5214.0,5176.3,5185.5
03/11/16,5147.7,5181.6,5118.5,5166.4
03/10/16,5157.7,5177.2,5149.7,5150.1
03/09/16,5102.4,5157.2,5081.9,5157.2
03/08/16,5156.4,5182.5,5103.4,5108.0
03/07/16,5105.0,5151.7,5105.0,5142.8
03/04/16,5087.0,5105.0,5081.9,5090.0
03/03/16,5033.5,5081.1,5033.5,5081.1
03/02/16,4938.3,5047.0,4938.3,5021.2
03/01/16,4880.4,4931.7,4868.1,4922.3
02/29/16,4883.1,4925.7,4878.8,4880.9
02/26/16,4880.5,4897.1,4838.3,4880.0
02/25/16,4878.5,4902.0,4844.3,4881.2
02/24/16,4960.3,4961.1,4861.9,4875.0
02/23/16,5002.3,5035.6,4969.4,4979.6
02/22/16,4956.7,5007.4,4949.2,5001.2
02/19/16,4988.5,4988.5,4937.0,4952.8
02/18/16,4904.6,4992.6,4903.3,4992.0
02/17/16,4909.7,4926.3,4869.7,4882.1
02/16/16,4853.2,4910.0,4814.1,4910.0
02/15/16,4794.9,4853.9,4783.9,4843.5
02/12/16,4811.7,4811.7,4760.3,4765.3
02/11/16,4776.0,4821.1,4770.7,4821.1
02/10/16,4833.1,4852.4,4706.7,4775.7
02/09/16,4958.0,4960.5,4826.9,4832.1
02/08/16,4965.9,4980.0,4925.8,4975.4
02/05/16,4982.9,4983.3,4932.9,4976.2
02/04/16,4890.5,4989.4,4887.7,4980.4
02/03/16,4974.8,4975.8,4873.6,4876.8
02/02/16,5041.0,5045.4,4982.2,4993.3
02/01/16,5013.0,5073.0,5013.0,5043.6
01/29/16,4984.3,5008.5,4947.6,5005.5
01/28/16,4948.8,4988.9,4909.4,4976.2
01/27/16,5008.6,5009.5,4937.9,4946.4
01/25/16,4930.0,5006.6,4930.0,5006.6
01/22/16,4883.6,4932.1,4882.7,4916.0
01/21/16,4853.7,4928.1,4851.2,4864.0
01/20/16,4898.6,4930.1,4836.8,4841.5
01/19/16,4857.3,4903.1,4840.2,4903.1
01/18/16,4869.2,4869.2,4803.9,4858.7
01/15/16,4929.8,4997.1,4870.3,4892.8
01/14/16,4967.1,4967.1,4865.0,4909.4
01/13/16,4927.0,4992.4,4925.6,4987.4
01/12/16,4932.5,4983.7,4910.7,4925.1
01/11/16,4974.3,4974.3,4880.1,4932.2
01/08/16,4997.7,5027.7,4940.3,4990.8
01/07/16,5116.2,5124.1,4996.5,5010.3
01/06/16,5188.0,5191.1,5094.8,5123.1
01/05/16,5264.6,5264.6,5183.7,5184.4
01/04/16,5292.8,5331.4,5263.8,5270.5
12/31/15,5317.1,5325.8,5295.9,5295.9
12/30/15,5274.3,5324.3,5273.8,5319.9
12/29/15,5199.2,5267.3,5189.1,5267.3
12/24/15,5158.6,5211.5,5158.5,5207.6
12/23/15,5123.5,5168.6,5122.5,5141.8
12/22/15,5116.8,5159.9,5103.1,5116.7
12/21/15,5098.4,5126.3,5075.2,5109.0
12/18/15,5085.4,5112.7,5026.6,5106.7
12/17/15,5039.5,5129.1,5037.8,5102.0
12/16/15,4923.4,5028.4,4923.0,5028.4
12/15/15,4926.1,4969.4,4909.6,4909.6
12/14/15,5014.3,5014.3,4928.0,4928.6
12/11/15,5034.8,5067.4,5015.3,5029.5
12/10/15,5080.7,5083.8,4995.6,5037.7
12/09/15,5103.4,5119.5,5069.6,5080.5
12/08/15,5143.6,5143.7,5096.7,5108.6
12/07/15,5168.9,5229.9,5154.0,5155.7
12/04/15,5212.2,5212.2,5117.6,5151.6
12/03/15,5246.8,5246.8,5200.4,5227.7
12/02/15,5265.4,5269.3,5237.5,5258.3
12/01/15,5168.3,5279.3,5168.2,5266.1
11/30/15,5197.7,5213.1,5166.2,5166.5
11/27/15,5217.9,5258.6,5195.4,5202.6
11/26/15,5186.6,5253.6,5185.8,5210.7
11/25/15,5228.0,5231.2,5192.1,5193.7
11/24/15,5267.4,5267.6,5226.4,5226.4
11/23/15,5249.7,5285.5,5244.0,5276.4
11/20/15,5239.3,5272.0,5231.0,5256.1
11/19/15,5146.1,5242.6,5144.1,5242.6
11/18/15,5107.3,5145.5,5082.7,5133.1
11/17/15,5012.9,5118.2,5012.9,5118.2
11/16/15,5034.6,5034.6,4979.2,5003.8
11/13/15,5103.8,5103.8,5010.4,5051.3
11/12/15,5114.1,5150.1,5083.2,5125.7
11/11/15,5100.5,5130.9,5092.6,5122.6
11/10/15,5114.8,5115.6,5047.0,5099.2
11/09/15,5212.1,5212.1,5102.8,5119.5
11/06/15,5171.2,5216.6,5152.8,5215.0
11/05/15,5243.1,5247.6,5167.4,5193.0
11/04/15,5252.1,5313.7,5235.6,5242.3
11/03/15,5177.2,5246.4,5176.4,5239.2
11/02/15,5242.0,5249.3,5162.7,5165.8
10/30/15,5253.0,5263.7,5204.0,5239.4
10/29/15,5344.2,5353.5,5257.1,5266.9
10/28/15,5343.3,5354.9,5319.4,5335.2
10/27/15,5348.5,5355.8,5339.7,5346.2
10/26/15,5361.6,5384.8,5346.5,5348.0
10/23/15,5281.9,5374.5,5281.9,5351.6
10/22/15,5241.5,5264.7,5217.6,5263.8
10/21/15,5232.6,5260.0,5195.4,5248.3
10/20/15,5257.2,5262.8,5228.7,5235.6
10/19/15,5267.5,5294.0,5254.9,5269.7
10/16/15,5234.1,5294.3,5233.1,5268.2
10/15/15,5201.0,5238.9,5201.0,5230.0
10/14/15,5197.8,5200.2,5164.2,5197.3
10/13/15,5229.1,5229.2,5173.3,5202.9
10/12/15,5279.3,5279.8,5225.3,5232.9
10/09/15,5230.3,5284.0,5230.3,5279.7
10/08/15,5213.8,5256.0,5206.2,5210.4
10/07/15,5168.6,5197.9,5136.3,5197.9
10/06/15,5151.1,5220.0,5151.1,5167.4
10/05/15,5071.7,5153.6,5069.0,5150.5
10/02/15,5101.4,5119.2,5042.8,5052.0
10/01/15,5021.7,5116.7,5021.7,5112.1
09/30/15,4923.9,5022.0,4923.8,5021.6
09/29/15,5098.8,5098.8,4918.4,4918.4
09/28/15,5039.1,5113.5,5031.8,5113.5
09/25/15,5077.1,5116.3,5036.1,5042.1
09/24/15,5003.8,5071.7,5003.8,5071.7
09/23/15,5088.8,5088.8,4988.8,4998.1
