Date,Open,High,Low,Close
12/29/16,19301.04,19301.04,19092.22,19145.14
12/28/16,19392.11,19442.13,19364.73,19401.72
12/27/16,19353.43,19478.58,19352.06,19403.06
12/26/16,19394.41,19432.48,19385.94,19396.64
12/22/16,19396.85,19427.67,19327.51,19427.67
12/21/16,19547.28,19592.90,19375.19,19444.49
12/20/16,19367.84,19511.20,19356.81,19494.53
12/19/16,19345.84,19399.26,19307.14,19391.60
12/16/16,19438.39,19439.97,19360.36,19401.15
12/15/16,19327.70,19436.90,19192.60,19273.79
12/14/16,19270.01,19284.28,19184.75,19253.61
12/13/16,19120.76,19253.51,19060.72,19250.52
12/12/16,19183.82,19280.93,19054.00,19155.03
12/09/16,18839.98,19042.48,18821.41,18996.37
12/08/16,18674.19,18765.47,18614.01,18765.47
12/07/16,18434.54,18502.47,18410.88,18496.69
12/06/16,18457.20,18484.80,18318.99,18360.54
12/05/16,18349.92,18365.74,18227.39,18274.99
12/02/16,18435.55,18469.68,18315.38,18426.08
12/01/16,18535.24,18746.28,18469.27,18513.12
11/30/16,18356.03,18370.31,18280.66,18308.48
11/29/16,18263.63,18327.51,18258.82,18307.04
11/28/16,18302.58,18374.93,18222.82,18356.89
11/25/16,18387.59,18482.94,18288.50,18381.22
11/24/16,18329.78,18382.72,18310.31,18333.41
11/22/16,18091.05,18175.63,18050.55,18162.94
11/21/16,18038.09,18129.03,18007.79,18106.02
11/18/16,18024.21,18043.72,17967.41,17967.41
11/17/16,17766.61,17884.06,17764.08,17862.63
11/16/16,17832.51,17886.44,17807.47,17862.21
11/15/16,17690.22,17727.58,17605.77,17668.15
11/14/16,17467.49,17697.33,17455.78,17672.62
11/11/16,17526.61,17621.73,17333.49,17374.79
11/10/16,16562.86,17393.82,16560.66,17344.42
11/09/16,17281.95,17427.71,16111.81,16251.54
11/08/16,17242.70,17247.04,17130.83,17171.38
11/07/16,17126.03,17186.89,17056.84,17177.21
11/04/16,16964.50,16996.09,16801.98,16905.36
11/02/16,17238.00,17283.60,17080.59,17134.68
11/01/16,17380.54,17473.12,17339.64,17442.40
10/31/16,17360.89,17433.13,17327.62,17425.02
10/28/16,17448.25,17461.03,17406.72,17446.41
10/27/16,17346.39,17414.21,17278.12,17336.42
10/26/16,17329.03,17391.84,17295.46,17391.84
10/25/16,17298.63,17381.80,17298.63,17365.25
10/24/16,17216.56,17244.74,17162.21,17234.42
10/21/16,17283.75,17288.89,17151.98,17184.59
10/20/16,16999.36,17235.50,16992.14,17235.50
10/19/16,16952.91,17016.66,16938.46,16998.91
10/18/16,16862.31,16966.90,16844.17,16963.61
10/17/16,16871.84,16954.44,16821.49,16900.12
10/14/16,16751.04,16866.56,16727.78,16856.37
10/13/16,16923.82,16974.25,16739.73,16774.24
10/12/16,16850.73,16951.54,16839.41,16840.00
10/11/16,16936.31,17074.46,16931.12,17024.76
10/07/16,16883.12,16895.13,16820.21,16860.09
10/06/16,16913.60,16971.28,16888.77,16899.10
10/05/16,16787.89,16844.35,16728.19,16819.24
10/04/16,16661.51,16747.20,16637.82,16735.65
10/03/16,16566.03,16652.16,16554.83,16598.67
09/30/16,16474.45,16497.55,16407.78,16449.84
09/29/16,16606.30,16756.43,16584.14,16693.71
09/28/16,16504.99,16515.84,16385.03,16465.40
09/27/16,16390.91,16683.93,16285.41,16683.93
09/26/16,16707.45,16707.45,16514.93,16544.56
09/23/16,16759.84,16808.59,16725.53,16754.02
09/21/16,16471.85,16823.63,16399.65,16807.62
09/20/16,16403.22,16591.70,16403.22,16492.15
09/16/16,16458.74,16532.84,16415.86,16519.29
09/15/16,16512.42,16528.02,16359.78,16405.01
09/14/16,16632.06,16706.61,16585.80,16614.24
09/13/16,16764.65,16787.06,16658.40,16729.04
09/12/16,16748.36,16802.00,16601.54,16672.92
09/09/16,16994.37,17029.78,16902.09,16965.76
09/08/16,16984.00,17001.84,16836.65,16958.77
09/07/16,16937.38,17024.26,16903.20,17012.44
09/06/16,17035.03,17097.59,17022.64,17081.98
09/05/16,17131.52,17156.36,17009.21,17037.63
09/02/16,16903.78,16946.49,16848.12,16925.68
09/01/16,16885.16,16941.18,16864.56,16926.84
08/31/16,16857.83,16917.86,16836.96,16887.40
08/30/16,16690.98,16752.16,16677.85,16725.36
08/29/16,16631.06,16764.64,16616.65,16737.49
08/26/16,16485.55,16490.53,16320.43,16360.71
08/25/16,16580.15,16628.79,16520.84,16555.95
08/24/16,16550.21,16648.07,16544.39,16597.30
08/23/16,16549.82,16663.64,16452.01,16497.36
08/22/16,16599.26,16631.23,16540.94,16598.19
08/19/16,16558.38,16613.04,16452.62,16545.82
08/18/16,16649.91,16714.61,16481.41,16486.01
08/17/16,16596.26,16772.11,16596.26,16745.64
08/16/16,16878.66,16887.57,16596.51,16596.51
08/15/16,16866.89,16932.11,16844.58,16869.56
08/12/16,16877.18,16943.67,16818.43,16919.92
08/10/16,16699.08,16822.86,16657.59,16735.12
08/09/16,16632.41,16779.59,16630.56,16764.97
08/08/16,16462.29,16652.04,16455.57,16650.57
08/05/16,16278.99,16355.98,16230.70,16254.45
08/04/16,16168.34,16270.12,15921.04,16254.89
08/03/16,16227.28,16275.34,16056.67,16083.11
08/02/16,16469.68,16541.88,16391.45,16391.45
08/01/16,16415.31,16677.49,16319.15,16635.77
07/29/16,16359.68,16679.19,16174.35,16569.27
07/28/16,16596.15,16616.28,16450.28,16476.84
07/27/16,16526.06,16821.43,16526.06,16664.82
07/26/16,16535.81,16535.81,16323.10,16383.04
07/25/16,16655.81,16778.65,16612.33,16620.29
07/22/16,16612.90,16691.81,16566.98,16627.25
07/21/16,16855.18,16938.96,16740.00,16810.22
07/20/16,16646.92,16692.84,16554.03,16681.89
07/19/16,16612.09,16726.71,16514.66,16723.31
07/15/16,16396.12,16607.32,16396.12,16497.85
07/14/16,16242.20,16398.73,16229.26,16385.89
07/13/16,16343.00,16444.25,16196.44,16231.43
07/12/16,15961.30,16237.62,15956.91,16095.65
07/11/16,15375.94,15816.67,15375.94,15708.82
07/08/16,15326.84,15399.70,15106.52,15106.98
07/07/16,15346.81,15418.90,15241.91,15276.24
07/06/16,15434.46,15434.46,15167.98,15378.99
07/05/16,15682.16,15702.04,15602.73,15669.33
07/04/16,15554.04,15805.31,15553.92,15775.80
07/01/16,15698.02,15765.00,15635.57,15682.48
06/30/16,15752.71,15781.69,15575.92,15575.92
06/29/16,15523.35,15626.66,15398.31,15566.83
06/28/16,15094.71,15443.82,14987.79,15323.14
06/27/16,15153.08,15323.95,15061.66,15309.21
06/24/16,16333.87,16389.17,14864.01,14952.02
06/23/16,16098.61,16263.87,16057.86,16238.35
06/22/16,16095.81,16160.99,15980.65,16065.72
06/21/16,15875.81,16202.30,15770.96,16169.11
06/20/16,15839.06,16035.44,15835.86,15965.30
06/17/16,15631.79,15774.87,15582.94,15599.66
06/16/16,15871.22,15913.08,15395.98,15434.14
06/15/16,15799.07,15997.30,15752.01,15919.58
06/14/16,16001.19,16082.50,15762.09,15859.00
06/13/16,16319.11,16335.38,16019.18,16019.18
06/10/16,16637.51,16643.36,16496.11,16601.36
06/09/16,16742.03,16785.83,16587.77,16668.41
06/08/16,16722.49,16830.92,16581.71,16830.92
06/07/16,16651.05,16701.01,16536.23,16675.45
06/06/16,16373.32,16581.30,16322.64,16580.03
06/03/16,16599.51,16716.14,16554.60,16642.23
06/02/16,16817.26,16819.85,16525.47,16562.55
06/01/16,17097.22,17145.95,16908.92,16955.73
05/31/16,17029.46,17251.36,16988.64,17234.98
05/30/16,16973.72,17068.02,16910.19,17068.02
05/27/16,16830.50,16901.09,16792.73,16834.84
05/26/16,16927.69,16957.56,16743.17,16772.46
05/25/16,16764.35,16806.03,16731.12,16757.35
05/24/16,16605.04,16605.04,16471.37,16498.76
05/23/16,16671.28,16691.50,16417.84,16654.60
05/20/16,16594.99,16770.87,16548.34,16736.35
05/19/16,16807.46,16841.04,16590.16,16646.66
05/18/16,16611.40,16795.47,16513.17,16644.69
05/17/16,16618.95,16655.89,16509.31,16652.80
05/16/16,16391.92,16632.62,16391.92,16466.40
05/13/16,16804.17,16804.17,16400.87,16412.21
05/12/16,16459.69,16658.07,16374.59,16646.34
05/11/16,16736.72,16814.64,16536.61,16579.01
05/10/16,16307.50,16587.63,16229.15,16565.19
05/09/16,16226.57,16292.86,16159.31,16216.03
05/06/16,16212.67,16271.61,15989.35,16106.72
05/02/16,16357.10,16357.10,15975.47,16147.38
04/28/16,17438.99,17572.27,16652.74,16666.05
04/27/16,17369.68,17417.54,17230.23,17290.49
04/26/16,17358.56,17426.02,17200.50,17353.28
04/25/16,17613.56,17613.56,17403.87,17439.30
04/22/16,17220.47,17572.49,17192.39,17572.49
04/21/16,17187.27,17381.70,17144.53,17363.62
04/20/16,17053.83,17099.36,16870.73,16906.54
04/19/16,16582.66,16900.33,16570.50,16874.44
04/18/16,16521.25,16526.90,16254.20,16275.95
04/15/16,16720.39,16928.67,16720.39,16848.03
04/14/16,16629.83,16911.05,16602.17,16911.05
04/13/16,16142.71,16405.59,16132.23,16381.22
04/12/16,15719.24,15963.03,15693.61,15928.79
04/11/16,15761.57,15778.74,15525.49,15751.13
04/08/16,15597.04,16027.63,15471.80,15821.52
04/07/16,15739.26,15871.10,15636.21,15749.84
04/06/16,15727.70,15828.61,15612.91,15715.36
04/05/16,16044.23,16066.18,15698.55,15732.82
04/04/16,16087.76,16238.51,16029.50,16123.27
04/01/16,16719.56,16719.56,16113.01,16164.16
03/31/16,16997.14,17033.65,16758.67,16758.67
03/30/16,17078.03,17078.03,16875.91,16878.96
03/29/16,16985.28,17137.20,16948.43,17103.53
03/28/16,17129.27,17167.88,16961.41,17134.37
03/25/16,16949.53,17026.14,16889.40,17002.75
03/24/16,16979.39,17041.16,16843.99,16892.33
03/23/16,17066.27,17142.08,16964.31,17000.98
03/22/16,16937.31,17107.80,16851.21,17048.55
03/18/16,16883.75,16920.91,16613.69,16724.81
03/17/16,17107.60,17253.03,16814.84,16936.38
03/16/16,16981.36,17102.45,16950.84,16974.45
03/15/16,17219.89,17279.30,17042.56,17117.07
03/14/16,17155.52,17291.35,17149.21,17233.75
03/11/16,16610.18,17015.30,16575.75,16938.87
03/10/16,16811.00,16887.60,16713.13,16852.35
03/09/16,16625.59,16706.25,16494.80,16642.20
