Date,Open,High,Low,Close
12/29/16,11071.11,11092.48,11057.67,11074.33
12/28/16,11148.32,11149.79,11057.15,11058.88
12/27/16,11601.30,11688.45,11144.12,11146.40
12/23/16,11111.50,11128.85,11110.06,11128.80
12/22/16,11127.78,11127.78,11100.93,11114.14
12/21/16,11170.41,11174.40,11142.57,11142.57
12/20/16,11145.29,11176.68,11145.29,11172.19
12/19/16,11127.00,11150.31,11110.59,11128.54
12/16/16,11152.21,11162.94,11109.59,11125.22
12/15/16,11087.13,11170.65,11086.39,11131.89
12/14/16,11214.03,11234.00,11087.02,11098.67
12/13/16,11216.83,11256.07,11189.43,11237.17
12/12/16,11200.19,11227.30,11163.20,11177.28
12/09/16,11153.10,11194.23,11152.68,11191.79
12/08/16,11114.32,11176.63,11094.79,11149.96
12/07/16,10977.41,11118.00,10974.20,11114.61
12/06/16,10923.58,10973.92,10902.26,10970.78
12/05/16,10890.15,10923.91,10888.72,10910.90
12/02/16,10828.99,10867.69,10821.21,10838.58
12/01/16,10860.42,10876.39,10812.75,10828.99
11/30/16,10872.38,10890.04,10838.45,10838.46
11/29/16,10798.92,10842.28,10786.40,10817.69
11/28/16,10857.47,10864.77,10803.09,10808.63
11/25/16,10854.69,10878.10,10852.89,10878.09
11/23/16,10772.61,10837.23,10768.81,10835.90
11/22/16,10793.34,10828.27,10768.60,10820.18
11/21/16,10753.25,10793.37,10752.08,10791.84
11/18/16,10725.35,10735.09,10695.22,10709.51
11/17/16,10717.88,10759.15,10717.68,10740.08
11/16/16,10705.47,10719.89,10677.27,10699.43
11/15/16,10680.42,10745.53,10664.85,10745.51
11/14/16,10660.45,10695.57,10633.98,10679.77
11/11/16,10644.56,10660.98,10585.63,10652.24
11/10/16,10678.97,10735.00,10617.84,10683.41
11/09/16,10477.79,10679.69,10474.73,10643.41
11/08/16,10462.84,10563.52,10454.35,10530.56
11/07/16,10416.34,10500.19,10416.34,10500.16
11/04/16,10308.31,10352.98,10281.48,10289.35
11/03/16,10350.61,10370.27,10292.95,10307.64
11/02/16,10389.95,10407.32,10316.44,10334.50
11/01/16,10508.01,10513.52,10354.86,10414.05
10/31/16,10476.92,10505.99,10465.42,10481.89
10/28/16,10495.31,10538.22,10447.25,10476.62
10/27/16,10561.54,10562.91,10495.87,10503.06
10/26/16,10505.99,10558.75,10497.38,10528.19
10/25/16,10575.19,10590.59,10542.63,10550.18
10/24/16,10610.58,10629.63,10567.24,10591.31
10/21/16,10545.12,10580.15,10522.32,10571.88
10/20/16,10587.83,10626.44,10560.98,10597.36
10/19/16,10580.45,10623.30,10561.13,10600.92
10/18/16,10578.89,10583.83,10539.80,10567.81
10/17/16,10516.30,10531.46,10481.59,10492.86
10/14/16,10579.77,10606.67,10521.29,10521.31
10/13/16,10487.61,10551.50,10425.91,10522.94
